epoch,batch,n_batches,running_loss
15,1900,3717,0.242942
15,2000,3717,0.243124
15,2100,3717,0.243261
15,2200,3717,0.243264
15,2300,3717,0.243245
15,2400,3717,0.243212
15,2500,3717,0.243082
15,2600,3717,0.243202
15,2700,3717,0.243029
15,2800,3717,0.243166
15,2900,3717,0.243319
15,3000,3717,0.243432
15,3100,3717,0.243411
15,3200,3717,0.243321
15,3300,3717,0.243354
15,3400,3717,0.243528
15,3500,3717,0.243545
15,3600,3717,0.243602
15,3700,3717,0.243726
16,100,3717,0.243477
16,200,3717,0.243324
16,300,3717,0.242572
16,400,3717,0.242045
16,500,3717,0.241858
16,600,3717,0.241403
16,700,3717,0.241797
16,800,3717,0.241272
16,900,3717,0.241432
16,1000,3717,0.240853
16,1100,3717,0.240693
16,1200,3717,0.240554
16,1300,3717,0.240512
16,1400,3717,0.240280
16,1500,3717,0.240126
16,1600,3717,0.240583
16,1700,3717,0.240453
16,1800,3717,0.240569
16,1900,3717,0.240436
16,2000,3717,0.240441
16,2100,3717,0.240651
16,2200,3717,0.240592
16,2300,3717,0.240650
16,2400,3717,0.240856
16,2500,3717,0.240796
16,2600,3717,0.240827
16,2700,3717,0.240894
16,2800,3717,0.240929
16,2900,3717,0.240908
16,3000,3717,0.240952
16,3100,3717,0.241088
16,3200,3717,0.240960
16,3300,3717,0.240987
16,3400,3717,0.241164
16,3500,3717,0.241388
16,3600,3717,0.241266
16,3700,3717,0.241171
17,100,3717,0.246869
17,200,3717,0.240023
17,300,3717,0.240630
17,400,3717,0.238755
17,500,3717,0.237381
17,600,3717,0.237020
17,700,3717,0.236117
17,800,3717,0.236307
17,900,3717,0.237142
17,1000,3717,0.236872
17,1100,3717,0.236956
17,1200,3717,0.236989
17,1300,3717,0.237085
17,1400,3717,0.237703
17,1500,3717,0.238102
17,1600,3717,0.238051
17,1700,3717,0.238335
17,1800,3717,0.238462
17,1900,3717,0.238748
17,2000,3717,0.238984
17,2100,3717,0.238697
17,2200,3717,0.238710
17,2300,3717,0.238496
17,2400,3717,0.238321
17,2500,3717,0.238286
17,2600,3717,0.238392
17,2700,3717,0.238513
17,2800,3717,0.238369
17,2900,3717,0.238374
17,3000,3717,0.238491
17,3100,3717,0.238634
17,3200,3717,0.238616
17,3300,3717,0.238763
17,3400,3717,0.238754
17,3500,3717,0.238773
17,3600,3717,0.238732
17,3700,3717,0.238806
